name,active_ingredient,manufacturer,presentation,price_max,registration,slug
BAYCUTEN N,21-ACETATO DE DEXAMETASONA;CLOTRIMAZOL,BAYER S.A.,"10 MG/G + 0,443 MG/G CREM DERM CT BG AL X 40 G",50.28,1705600230032,baycuten-n
ORENCIA,ABATACEPTE,BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA,250 MG PO LIOF SOL INJ CT 1 FA + SER DESCARTÁVEL,,1018003900019,orencia
ORENCIA,ABATACEPTE,BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA,125 MG/ML SOL INJ SC CT 4 SER PREENC VD TRANS + DISPOSITIVO ULTRASAFE PASSIVE + EXTENSORES DE APOIO,11336.31,1018003900078,orencia-2
VERZENIOS,ABEMACICLIBE,ELI LILLY DO BRASIL LTDA,50 MG COM REV CT BL AL AL X 30,5162.12,1126001990018,verzenios
VERZENIOS,ABEMACICLIBE,ELI LILLY DO BRASIL LTDA,100 MG COM REV CT BL AL AL X 30,10324.19,1126001990034,verzenios-2
VERZENIOS,ABEMACICLIBE,ELI LILLY DO BRASIL LTDA,150 MG COM REV CT BL AL AL X 30,14824.67,1126001990050,verzenios-3
VERZENIOS,ABEMACICLIBE,ELI LILLY DO BRASIL LTDA,150 MG COM REV CT BL AL AL X 60,29649.31,1126001990069,verzenios-4
VERZENIOS,ABEMACICLIBE,ELI LILLY DO BRASIL LTDA,200 MG COM REV CT BL AL AL X 30,18513.42,1126001990077,verzenios-5
VERZENIOS,ABEMACICLIBE,ELI LILLY DO BRASIL LTDA,200 MG COM REV CT BL AL AL X 60,37026.82,1126001990085,verzenios-6
CIBINQO,ABROCITINIBE,PFIZER BRASIL LTDA,50 MG COM REV CT FR PLAS PEAD OPC X 30,4058.45,1211004910013,cibinqo
CIBINQO,ABROCITINIBE,PFIZER BRASIL LTDA,100 MG COM REV CT FR PLAS PEAD OPC X 30,8116.92,1211004910021,cibinqo-2
CIBINQO,ABROCITINIBE,PFIZER BRASIL LTDA,200 MG COM REV CT FR PLAS PEAD OPC X 30,11724.95,1211004910031,cibinqo-3
AGLUCOSE,ACARBOSE,EMS SIGMA PHARMA LTDA,50 MG COM CT BL AL AL X 30,45.27,1356900350024,aglucose
AGLUCOSE,ACARBOSE,EMS SIGMA PHARMA LTDA,100 MG COM CT BL AL AL X 30,68.71,1356900350075,aglucose-2
ACEBROFILINA,ACEBROFILINA,EUROFARMA LABORATORIOS S.A.,5 MG/ML XPE CT FR VD AMB X 120 ML + COP,32.32,1004307850011,acebrofilina
ACEBROFILINA,ACEBROFILINA,EUROFARMA LABORATORIOS S.A.,10 MG/ML XPE CT FR VD AMB X 120 ML + COP,45.57,1004307850021,acebrofilina-2
FILINAR G,ACEBROFILINA,EUROFARMA LABORATORIOS S.A.,5 MG/ML GEL OR CT FR PLAS TRANS X 120ML + COL,32.32,1004310860022,filinar-g
FILINAR,ACEBROFILINA,EUROFARMA LABORATORIOS S.A.,5 MG/ML XPE CT FR VD AMB X 120 ML + COP,33.50,1004311580015,filinar
FILINAR,ACEBROFILINA,EUROFARMA LABORATORIOS S.A.,10 MG/ML XPE CT FR VD AMB X 120 ML + COP,45.90,1004311580023,filinar-2
ACEBROFILINA,ACEBROFILINA,EMS S/A,5 MG/ML XPE CT FR VD AMB X 120 ML + COP,32.27,1023506580010,acebrofilina-3
ACEBROFILINA,ACEBROFILINA,EMS S/A,10 MG/ML XPE CT FR VD AMB X 120 ML + COP,45.57,1023506580029,acebrofilina-4
ACEBROFILINA,ACEBROFILINA,EMS S/A,5 MG/ML XPE CT FR PLAS AMB X 120 ML + COP,32.27,1023506580037,acebrofilina-5
ACEBROFILINA,ACEBROFILINA,EMS S/A,10 MG/ML XPE CT FR PLAS AMB X 120 ML + COP,45.57,1023506580045,acebrofilina-6
ACEBROFILINA,ACEBROFILINA,LABORATORIO TEUTO BRASILEIRO S/A,10 MG/ML XPE CT FR PLAS PET AMB X 120 ML + COP,45.09,1037004620253,acebrofilina-7
ACEBROFILINA,ACEBROFILINA,LABORATORIO TEUTO BRASILEIRO S/A,5MG/ML XPE CT FR PLAS PET AMB X 120ML + COP,32.32,1037004620296,acebrofilina-8
LISOMUC,ACEBROFILINA,LABORATÓRIO FARMACÊUTICO ELOFAR LTDA,5 MG / ML XPE  CT FR VD AMB X 100 ML + COP,32.16,1038501090013,lisomuc
LISOMUC,ACEBROFILINA,LABORATÓRIO FARMACÊUTICO ELOFAR LTDA,5 MG / ML XPE CT FR PET AMB X 120 ML + COP,38.61,1038501090021,lisomuc-2
LISOMUC,ACEBROFILINA,LABORATÓRIO FARMACÊUTICO ELOFAR LTDA,10 MG / ML XPE CT FR VD AMB X 100 ML + COP,46.56,1038501090048,lisomuc-3
LISOMUC,ACEBROFILINA,LABORATÓRIO FARMACÊUTICO ELOFAR LTDA,10 MG / ML XPE CT FR PET AMB X 120 ML + COP,55.88,1038501090056,lisomuc-4
ACEBROFILINA,ACEBROFILINA,LABORATORIO GLOBO SA,5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED,26.29,1053501960011,acebrofilina-9
ACEBROFILINA,ACEBROFILINA,LABORATORIO GLOBO SA,10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED,31.25,1053501960021,acebrofilina-10
MELYSSE,ACEBROFILINA,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,10 MG/ML XPE CT FR PLAS AMB X 120 ML + COP  X 10 ML,56.91,1057300190017,melysse
MELYSSE,ACEBROFILINA,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,5 MG/ML XPE CT FR PLAS AMB X 120 ML + COP  X 10 ML,42.74,1057300190025,melysse-2
MELYSSE,ACEBROFILINA,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,10 MG/ML XPE CT FR PLAS AMB X 60 ML + COP  X 10 ML,28.49,1057300190033,melysse-3
MELYSSE,ACEBROFILINA,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,5 MG/ML XPE CT FR PLAS AMB X 60 ML + COP X 10 ML,21.35,1057300190041,melysse-4
BRONDILAT,ACEBROFILINA,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,10 MG/ML XPE CT FR PLAS AMB X 120 ML + COP  X 10 ML,78.11,1057301270065,brondilat
BRONDILAT,ACEBROFILINA,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,5 MG/ML XPE CT FR PLAS AMB X 120 ML + COP  X 10 ML,52.74,1057301270073,brondilat-2
BRONDILAT,ACEBROFILINA,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,10 MG/ML XPE CT FR PLAS AMB X 60 ML + COP  X 10 ML,38.98,1057301270091,brondilat-3
BRONDILAT,ACEBROFILINA,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,5 MG/ML XPE CT FR PLAS AMB X 60 ML + COP X 10 ML,26.40,1057301270111,brondilat-4
ACEBROFILINA,ACEBROFILINA,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,5 MG/ML XPE CT FR VD AMB X 120 ML + COP,32.70,1057306090014,acebrofilina-11
ACEBROFILINA,ACEBROFILINA,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED,46.31,1057306090022,acebrofilina-12
ACEBROFILINA,ACEBROFILINA,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED,32.70,1057306090030,acebrofilina-13
ACEBROFILINA,ACEBROFILINA,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED,46.31,1057306090049,acebrofilina-14
